alpha,beta,correct,unsure,total,accuracy
0.0,0.0,18,0,18,1.0
0.0,0.01,13,0,18,0.7222222222222222
0.0,0.05,13,0,18,0.7222222222222222
0.0,0.1,13,0,18,0.7222222222222222
0.0,0.15,13,0,18,0.7222222222222222
0.0,0.2,13,0,18,0.7222222222222222
0.0,0.25,13,0,18,0.7222222222222222
0.0,0.5,13,0,18,0.7222222222222222
0.0,1.0,13,0,18,0.7222222222222222
0.0,2.0,13,0,18,0.7222222222222222
0.0,5.0,13,0,18,0.7222222222222222
0.0,7.5,13,0,18,0.7222222222222222
0.0,10.0,13,0,18,0.7222222222222222
0.0,12.5,13,0,18,0.7222222222222222
0.0,15.0,13,0,18,0.7222222222222222
0.01,0.0,18,0,18,1.0
0.01,0.01,16,0,18,0.8888888888888888
0.01,0.05,16,0,18,0.8888888888888888
0.01,0.1,16,0,18,0.8888888888888888
0.01,0.15,16,0,18,0.8888888888888888
0.01,0.2,16,0,18,0.8888888888888888
0.01,0.25,16,0,18,0.8888888888888888
0.01,0.5,15,0,18,0.8333333333333334
0.01,1.0,14,0,18,0.7777777777777778
0.01,2.0,14,0,18,0.7777777777777778
0.01,5.0,13,0,18,0.7222222222222222
0.01,7.5,11,0,18,0.6111111111111112
0.01,10.0,11,0,18,0.6111111111111112
0.01,12.5,11,0,18,0.6111111111111112
0.01,15.0,11,0,18,0.6111111111111112
0.05,0.0,18,0,18,1.0
0.05,0.01,17,0,18,0.9444444444444444
0.05,0.05,16,0,18,0.8888888888888888
0.05,0.1,16,0,18,0.8888888888888888
0.05,0.15,16,0,18,0.8888888888888888
0.05,0.2,16,0,18,0.8888888888888888
0.05,0.25,16,0,18,0.8888888888888888
0.05,0.5,16,0,18,0.8888888888888888
0.05,1.0,16,0,18,0.8888888888888888
0.05,2.0,15,0,18,0.8333333333333334
0.05,5.0,14,0,18,0.7777777777777778
0.05,7.5,14,0,18,0.7777777777777778
0.05,10.0,14,0,18,0.7777777777777778
0.05,12.5,14,0,18,0.7777777777777778
0.05,15.0,14,0,18,0.7777777777777778
0.1,0.0,18,0,18,1.0
0.1,0.01,18,0,18,1.0
0.1,0.05,16,0,18,0.8888888888888888
0.1,0.1,16,0,18,0.8888888888888888
0.1,0.15,16,0,18,0.8888888888888888
0.1,0.2,16,0,18,0.8888888888888888
0.1,0.25,16,0,18,0.8888888888888888
0.1,0.5,16,0,18,0.8888888888888888
0.1,1.0,16,0,18,0.8888888888888888
0.1,2.0,16,0,18,0.8888888888888888
0.1,5.0,15,0,18,0.8333333333333334
0.1,7.5,14,0,18,0.7777777777777778
0.1,10.0,14,0,18,0.7777777777777778
0.1,12.5,14,0,18,0.7777777777777778
0.1,15.0,14,0,18,0.7777777777777778
0.15,0.0,18,0,18,1.0
0.15,0.01,18,0,18,1.0
0.15,0.05,17,0,18,0.9444444444444444
0.15,0.1,16,0,18,0.8888888888888888
0.15,0.15,16,0,18,0.8888888888888888
0.15,0.2,16,0,18,0.8888888888888888
0.15,0.25,16,0,18,0.8888888888888888
0.15,0.5,16,0,18,0.8888888888888888
0.15,1.0,16,0,18,0.8888888888888888
0.15,2.0,16,0,18,0.8888888888888888
0.15,5.0,15,0,18,0.8333333333333334
0.15,7.5,15,0,18,0.8333333333333334
0.15,10.0,14,0,18,0.7777777777777778
0.15,12.5,14,0,18,0.7777777777777778
0.15,15.0,14,0,18,0.7777777777777778
0.2,0.0,18,0,18,1.0
0.2,0.01,18,0,18,1.0
0.2,0.05,17,0,18,0.9444444444444444
0.2,0.1,16,0,18,0.8888888888888888
0.2,0.15,16,0,18,0.8888888888888888
0.2,0.2,16,0,18,0.8888888888888888
0.2,0.25,16,0,18,0.8888888888888888
0.2,0.5,16,0,18,0.8888888888888888
0.2,1.0,16,0,18,0.8888888888888888
0.2,2.0,16,0,18,0.8888888888888888
0.2,5.0,16,0,18,0.8888888888888888
0.2,7.5,15,0,18,0.8333333333333334
0.2,10.0,15,0,18,0.8333333333333334
0.2,12.5,14,0,18,0.7777777777777778
0.2,15.0,14,0,18,0.7777777777777778
0.25,0.0,18,0,18,1.0
0.25,0.01,18,0,18,1.0
0.25,0.05,17,0,18,0.9444444444444444
0.25,0.1,16,0,18,0.8888888888888888
0.25,0.15,16,0,18,0.8888888888888888
0.25,0.2,16,0,18,0.8888888888888888
0.25,0.25,16,0,18,0.8888888888888888
0.25,0.5,16,0,18,0.8888888888888888
0.25,1.0,16,0,18,0.8888888888888888
0.25,2.0,16,0,18,0.8888888888888888
0.25,5.0,16,0,18,0.8888888888888888
0.25,7.5,16,0,18,0.8888888888888888
0.25,10.0,15,0,18,0.8333333333333334
0.25,12.5,15,0,18,0.8333333333333334
0.25,15.0,14,0,18,0.7777777777777778
0.5,0.0,18,0,18,1.0
0.5,0.01,18,0,18,1.0
0.5,0.05,18,0,18,1.0
0.5,0.1,17,0,18,0.9444444444444444
0.5,0.15,17,0,18,0.9444444444444444
0.5,0.2,16,0,18,0.8888888888888888
0.5,0.25,16,0,18,0.8888888888888888
0.5,0.5,16,0,18,0.8888888888888888
0.5,1.0,16,0,18,0.8888888888888888
0.5,2.0,16,0,18,0.8888888888888888
0.5,5.0,16,0,18,0.8888888888888888
0.5,7.5,16,0,18,0.8888888888888888
0.5,10.0,16,0,18,0.8888888888888888
0.5,12.5,16,0,18,0.8888888888888888
0.5,15.0,16,0,18,0.8888888888888888
1.0,0.0,18,0,18,1.0
1.0,0.01,18,0,18,1.0
1.0,0.05,18,0,18,1.0
1.0,0.1,18,0,18,1.0
1.0,0.15,18,0,18,1.0
1.0,0.2,17,0,18,0.9444444444444444
1.0,0.25,17,0,18,0.9444444444444444
