alpha,beta,correct,unsure,total,accuracy
0.0,0.0,18,0,18,1.0
0.0,0.1,18,0,18,1.0
0.0,0.5,18,0,18,1.0
0.0,1.0,18,0,18,1.0
0.0,2.0,18,0,18,1.0
0.0,5.0,18,0,18,1.0
0.0,10.0,18,0,18,1.0
0.0,25.0,18,0,18,1.0
0.0,50.0,18,0,18,1.0
0.0,75.0,18,0,18,1.0
0.0,100.0,18,0,18,1.0
0.0001,0.0,18,0,18,1.0
0.0001,0.1,18,0,18,1.0
0.0001,0.5,18,0,18,1.0
0.0001,1.0,18,0,18,1.0
0.0001,2.0,18,0,18,1.0
0.0001,5.0,18,0,18,1.0
0.0001,10.0,18,0,18,1.0
0.0001,25.0,18,0,18,1.0
0.0001,50.0,18,0,18,1.0
0.0001,75.0,18,0,18,1.0
0.0001,100.0,18,0,18,1.0
0.001,0.0,18,0,18,1.0
0.001,0.1,18,0,18,1.0
0.001,0.5,18,0,18,1.0
0.001,1.0,18,0,18,1.0
0.001,2.0,18,0,18,1.0
0.001,5.0,18,0,18,1.0
0.001,10.0,18,0,18,1.0
0.001,25.0,18,0,18,1.0
0.001,50.0,18,0,18,1.0
0.001,75.0,18,0,18,1.0
0.001,100.0,18,0,18,1.0
0.005,0.0,18,0,18,1.0
0.005,0.1,18,0,18,1.0
0.005,0.5,18,0,18,1.0
0.005,1.0,18,0,18,1.0
0.005,2.0,18,0,18,1.0
0.005,5.0,18,0,18,1.0
0.005,10.0,18,0,18,1.0
0.005,25.0,18,0,18,1.0
0.005,50.0,18,0,18,1.0
0.005,75.0,18,0,18,1.0
0.005,100.0,18,0,18,1.0
0.01,0.0,18,0,18,1.0
0.01,0.1,18,0,18,1.0
0.01,0.5,18,0,18,1.0
0.01,1.0,18,0,18,1.0
0.01,2.0,18,0,18,1.0
0.01,5.0,18,0,18,1.0
0.01,10.0,18,0,18,1.0
0.01,25.0,18,0,18,1.0
0.01,50.0,18,0,18,1.0
0.01,75.0,18,0,18,1.0
0.01,100.0,18,0,18,1.0
0.025,0.0,18,0,18,1.0
0.025,0.1,18,0,18,1.0
0.025,0.5,18,0,18,1.0
0.025,1.0,18,0,18,1.0
0.025,2.0,18,0,18,1.0
0.025,5.0,18,0,18,1.0
0.025,10.0,18,0,18,1.0
0.025,25.0,18,0,18,1.0
0.025,50.0,18,0,18,1.0
0.025,75.0,18,0,18,1.0
0.025,100.0,18,0,18,1.0
0.05,0.0,18,0,18,1.0
0.05,0.1,18,0,18,1.0
0.05,0.5,18,0,18,1.0
0.05,1.0,18,0,18,1.0
0.05,2.0,18,0,18,1.0
0.05,5.0,18,0,18,1.0
0.05,10.0,18,0,18,1.0
0.05,25.0,18,0,18,1.0
0.05,50.0,18,0,18,1.0
0.05,75.0,18,0,18,1.0
0.05,100.0,18,0,18,1.0
0.1,0.0,18,0,18,1.0
0.1,0.1,18,0,18,1.0
0.1,0.5,18,0,18,1.0
0.1,1.0,18,0,18,1.0
0.1,2.0,18,0,18,1.0
0.1,5.0,18,0,18,1.0
0.1,10.0,18,0,18,1.0
0.1,25.0,18,0,18,1.0
0.1,50.0,18,0,18,1.0
0.1,75.0,18,0,18,1.0
0.1,100.0,18,0,18,1.0
0.25,0.0,18,0,18,1.0
0.25,0.1,18,0,18,1.0
0.25,0.5,18,0,18,1.0
0.25,1.0,18,0,18,1.0
0.25,2.0,18,0,18,1.0
0.25,5.0,18,0,18,1.0
0.25,10.0,18,0,18,1.0
0.25,25.0,18,0,18,1.0
0.25,50.0,18,0,18,1.0
0.25,75.0,18,0,18,1.0
0.25,100.0,18,0,18,1.0
0.5,0.0,18,0,18,1.0
0.5,0.1,18,0,18,1.0
0.5,0.5,18,0,18,1.0
0.5,1.0,18,0,18,1.0
0.5,2.0,18,0,18,1.0
0.5,5.0,18,0,18,1.0
0.5,10.0,18,0,18,1.0
0.5,25.0,18,0,18,1.0
0.5,50.0,18,0,18,1.0
0.5,75.0,18,0,18,1.0
0.5,100.0,18,0,18,1.0
1.0,0.0,18,0,18,1.0
1.0,0.1,18,0,18,1.0
1.0,0.5,18,0,18,1.0
1.0,1.0,18,0,18,1.0
1.0,2.0,18,0,18,1.0
1.0,5.0,18,0,18,1.0
1.0,10.0,18,0,18,1.0
1.0,25.0,18,0,18,1.0
1.0,50.0,18,0,18,1.0
1.0,75.0,18,0,18,1.0
1.0,100.0,18,0,18,1.0
2.0,0.0,18,0,18,1.0
2.0,0.1,18,0,18,1.0
2.0,0.5,18,0,18,1.0
2.0,1.0,18,0,18,1.0
2.0,2.0,18,0,18,1.0
2.0,5.0,18,0,18,1.0
2.0,10.0,18,0,18,1.0
2.0,25.0,18,0,18,1.0
2.0,50.0,18,0,18,1.0
2.0,75.0,18,0,18,1.0
2.0,100.0,18,0,18,1.0
5.0,0.0,18,0,18,1.0
5.0,0.1,18,0,18,1.0
5.0,0.5,18,0,18,1.0
5.0,1.0,18,0,18,1.0
5.0,2.0,18,0,18,1.0
5.0,5.0,18,0,18,1.0
5.0,10.0,18,0,18,1.0
5.0,25.0,18,0,18,1.0
5.0,50.0,18,0,18,1.0
5.0,75.0,18,0,18,1.0
5.0,100.0,18,0,18,1.0
